record_id,raw_name,canonical_name,dataset,script,language_hint,country,variants_json,warnings_json,metadata_json
sage-6ed75daed562b077,張瀚天,張瀚天,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhanghantian"", ""native"": ""張瀚天""}",[],"{""source_row"": 122637}"
sage-daea2481ada0c411,謝衣鳯,謝衣鳯,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""xieyifeng"", ""native"": ""謝衣鳯""}",[],"{""source_row"": 122640}"
sage-452166a657119ddb,楊麗香,楊麗香,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""yanglixiang"", ""native"": ""楊麗香""}",[],"{""source_row"": 122641}"
sage-1ab3bb9adafaf790,劉銀鬃,劉銀鬃,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liuyinzong"", ""native"": ""劉銀鬃""}",[],"{""source_row"": 122642}"
sage-d2c915c73200f583,林怡彣,林怡彣,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""linyiwen"", ""native"": ""林怡彣""}",[],"{""source_row"": 122644}"
sage-5901e79f396679b3,洪祐輔,洪祐輔,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""hongyoufu"", ""native"": ""洪祐輔""}",[],"{""source_row"": 122645}"
sage-22a52eaa6270dc4e,蕭翠瑩,蕭翠瑩,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""xiaocuiying"", ""native"": ""蕭翠瑩""}",[],"{""source_row"": 122646}"
sage-a2439abc0277bb30,陳志傑,陳志傑,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""chenzhijie"", ""native"": ""陳志傑""}",[],"{""source_row"": 122649}"
sage-e1966e00b889d235,何倍爾,何倍爾,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""hebeier"", ""native"": ""何倍爾""}",[],"{""source_row"": 122650}"
sage-ab391739f35d7dc0,陳昭宏,陳昭宏,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""chenzhaohong"", ""native"": ""陳昭宏""}",[],"{""source_row"": 122652}"
sage-ec0a0d95919bb941,張衞航,張衞航,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangweihang"", ""native"": ""張衞航""}",[],"{""source_row"": 122653}"
sage-7e43be4401d64718,張立蔭,張立蔭,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangliyin"", ""native"": ""張立蔭""}",[],"{""source_row"": 122654}"
sage-26c764d2869f2411,余長欣,余長欣,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""yuzhangxin"", ""native"": ""余長欣""}",[],"{""source_row"": 122655}"
sage-615068fa3d401ddc,洪孟楷,洪孟楷,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""hongmengkai"", ""native"": ""洪孟楷""}",[],"{""source_row"": 122657}"
sage-1414a2e3b6575c13,陳榮太,陳榮太,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""chenrongtai"", ""native"": ""陳榮太""}",[],"{""source_row"": 122658}"
sage-24d37e4659e0ed74,龍大智,龍大智,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""longdazhi"", ""native"": ""龍大智""}",[],"{""source_row"": 122660}"
sage-db2aee6003aadc81,黃桂蘭,黃桂蘭,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""huangguilan"", ""native"": ""黃桂蘭""}",[],"{""source_row"": 122661}"
sage-c85c8c84c92b64f7,羅和讚,羅和讚,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""luohezan"", ""native"": ""羅和讚""}",[],"{""source_row"": 122662}"
sage-24b55001c4cde722,李翁月娥,李翁月娥,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liwengyuee"", ""native"": ""李翁月娥""}",[],"{""source_row"": 122663}"
sage-2a931812b406f18d,李崇威,李崇威,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""lichongwei"", ""native"": ""李崇威""}",[],"{""source_row"": 122664}"
sage-575cee2a4684db8e,李旻蔚,李旻蔚,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liminwei"", ""native"": ""李旻蔚""}",[],"{""source_row"": 122665}"
sage-8241ac4e3263becb,林宜瑄,林宜瑄,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""linyixuan"", ""native"": ""林宜瑄""}",[],"{""source_row"": 122668}"
sage-e4821417cddc2edf,朱約翰,朱約翰,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhuyuehan"", ""native"": ""朱約翰""}",[],"{""source_row"": 122669}"
sage-a9457616788451e3,葉宏仁,葉宏仁,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""yehongren"", ""native"": ""葉宏仁""}",[],"{""source_row"": 122670}"
sage-79317d90ce40f9b1,黃博仁,黃博仁,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""huangboren"", ""native"": ""黃博仁""}",[],"{""source_row"": 122672}"
sage-ca40c991d950c85d,陳俊憲,陳俊憲,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""chenjunxian"", ""native"": ""陳俊憲""}",[],"{""source_row"": 122674}"
sage-5277ec2374873c1e,張哲偉,張哲偉,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangzhewei"", ""native"": ""張哲偉""}",[],"{""source_row"": 122676}"
sage-89dbb825456fa62a,徐金菊,徐金菊,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""xujinju"", ""native"": ""徐金菊""}",[],"{""source_row"": 122680}"
sage-31e91810da6a7e62,陳玉鳳,陳玉鳳,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""chenyufeng"", ""native"": ""陳玉鳳""}",[],"{""source_row"": 122682}"
sage-71a61bd5f4878905,石人仁,石人仁,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""shirenren"", ""native"": ""石人仁""}",[],"{""source_row"": 122683}"
sage-24750058692372d4,朱盛興,朱盛興,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhushengxing"", ""native"": ""朱盛興""}",[],"{""source_row"": 122685}"
sage-091bb5842073a8f0,柯志恩,柯志恩,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""kezhien"", ""native"": ""柯志恩""}",[],"{""source_row"": 122686}"
sage-518369ecb0d5db0c,黃足貞,黃足貞,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""huangzuzhen"", ""native"": ""黃足貞""}",[],"{""source_row"": 122688}"
sage-0f670016aba42bda,吳達偉,吳達偉,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""wudawei"", ""native"": ""吳達偉""}",[],"{""source_row"": 122689}"
sage-63f11488adaf0cde,張源益,張源益,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhangyuanyi"", ""native"": ""張源益""}",[],"{""source_row"": 122690}"
sage-6b946d02d2660c0d,邱烽堯,邱烽堯,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""qiufengyao"", ""native"": ""邱烽堯""}",[],"{""source_row"": 122692}"
sage-68b0830d8f5c820b,蔡宗霖,蔡宗霖,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""caizonglin"", ""native"": ""蔡宗霖""}",[],"{""source_row"": 122693}"
sage-a2e9db56d6557062,李國憲,李國憲,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liguoxian"", ""native"": ""李國憲""}",[],"{""source_row"": 122695}"
sage-af5a12177e537419,許惠珍,許惠珍,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""xuhuizhen"", ""native"": ""許惠珍""}",[],"{""source_row"": 122696}"
sage-945c8a8618730323,李正皓,李正皓,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""lizhenghao"", ""native"": ""李正皓""}",[],"{""source_row"": 122698}"
sage-40c3a4262476d7ba,陳愷寧,陳愷寧,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""chenkaining"", ""native"": ""陳愷寧""}",[],"{""source_row"": 122699}"
sage-8d0ceebea8bd6655,林聲洲,林聲洲,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""linshengzhou"", ""native"": ""林聲洲""}",[],"{""source_row"": 122700}"
sage-f3253a32c1d1c1f4,蔡沐霖,蔡沐霖,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""caimulin"", ""native"": ""蔡沐霖""}",[],"{""source_row"": 122701}"
sage-dac06174a7bd224e,楊智淵,楊智淵,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""yangzhiyuan"", ""native"": ""楊智淵""}",[],"{""source_row"": 122703}"
sage-23c918c2e96477fe,詹宇賢,詹宇賢,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""zhanyuxian"", ""native"": ""詹宇賢""}",[],"{""source_row"": 122704}"
sage-62270d22605c20f8,林金結,林金結,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""linjinjie"", ""native"": ""林金結""}",[],"{""source_row"": 122705}"
sage-db3f0765048db068,李縉穎,李縉穎,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""lijinying"", ""native"": ""李縉穎""}",[],"{""source_row"": 122707}"
sage-c53cda3627c960ba,劉瑞娜,劉瑞娜,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""liuruina"", ""native"": ""劉瑞娜""}",[],"{""source_row"": 122708}"
sage-985f2e6db7fe7990,曾怡晴,曾怡晴,sage_multilingual,Han,zh,Taiwan,"{""latin_transliterated"": ""cengyiqing"", ""native"": ""曾怡晴""}",[],"{""source_row"": 122709}"
